sid,group,nam,progressive,dwipc,dwfpc,sc_flat,sc_lep,sc_streaks
0,0,3,False,0.4999999999999999,0.9666666666666666,0.24999999999999994,0.2507828942428098,0.33586717885108863
1,0,3,True,0.7222222222222221,0.7888888888888888,0.4507555555555555,0.3108224315367173,0.4351657837442151
2,0,1,True,0.4888888888888889,0.4888888888888889,0.43321818181818184,0.5110141912078532,0.5087436977872811
3,0,3,True,0.8666666666666667,0.9555555555555555,0.4060333333333334,0.20465389784946247,0.38232561279942184
4,0,2,False,0.5888888888888888,0.7333333333333333,0.3232777777777777,0.26203932397973767,0.4149860136227418
5,0,2,False,0.6333333333333333,0.7111111111111111,0.33661904761904765,0.19896061632463313,0.44628261784511786
6,0,3,False,0.7,0.9333333333333333,0.5028444444444445,0.4434019075466444,0.4219631354370378
7,0,1,True,0.6666666666666666,0.7888888888888889,0.48995959595959604,0.48924992900896586,0.4117399531685246
8,0,2,False,0.6333333333333333,0.6888888888888889,0.5180569985569986,0.27994649685826145,0.4764207494075143
9,0,2,False,0.6444444444444444,0.7777777777777777,0.47323405483405484,0.42711437839486627,0.5100901555612388
11,0,1,True,0.5222222222222221,0.6555555555555554,0.5076,0.49998867411658104,0.5007062744838636
12,0,3,False,0.711111111111111,0.9444444444444444,0.540989898989899,0.40301395530153705,0.4112573708870005
13,0,2,False,0.6,0.7666666666666666,0.443031746031746,0.3529475339913815,0.42856613265371735
14,0,1,True,0.4555555555555555,0.5777777777777777,0.19832727272727274,0.21663698552691116,0.3876919624162616
16,0,1,True,0.4222222222222222,0.42222222222222217,0.22566666666666663,0.1731941838649157,0.42371060067929145
17,0,3,True,0.47777777777777775,0.7,0.4768111111111112,0.4440607003726288,0.4359496697229616
18,0,2,False,0.7777777777777777,0.6777777777777778,0.31320779220779216,0.34817271143490663,0.3790980516705257
20,0,2,False,0.5444444444444444,0.6888888888888889,0.34530909090909084,0.34568291765974346,0.40865325588496315
21,0,2,False,0.6555555555555554,0.7777777777777777,0.0616,0.04623774509803922,0.18194354522383896
22,0,3,False,0.6888888888888889,0.9,0.184,0.23410007231517535,0.34800098615111347
25,0,3,False,0.6555555555555554,0.8777777777777778,0.42652222222222225,0.33881468803996695,0.35238890359552305
26,0,0,True,0.5555555555555555,0.4111111111111111,0.5468311688311689,0.5484535544776508,0.6110783117332831
27,0,1,True,0.5333333333333333,0.39999999999999997,0.6619333333333334,0.6605756358768408,0.6655509085496298
30,0,1,False,0.43333333333333335,0.6,0.2346095238095238,0.2702444956477212,0.38218048231022606
32,0,2,False,0.7444444444444445,0.7222222222222221,0.1979746031746032,0.2255562803508009,0.32634420087250277
33,0,2,False,0.6777777777777778,0.7999999999999998,0.34958730158730156,0.3716869654919974,0.4228012566137568
34,0,1,True,0.7888888888888889,0.7555555555555555,0.3505079365079365,0.34789953464652323,0.43145570167392905
35,0,1,True,0.7444444444444445,0.6111111111111112,0.5313333333333333,0.2790616246498598,0.5995285331810348
37,0,2,False,0.6111111111111112,0.8666666666666666,0.5073444444444444,0.2583571219440785,0.3182019101132881
