,sid,grp,tid,pc1
396,89,0,2,0.5975149772962265
80,89,0,1,0.7398994914165867
397,90,0,2,0.445020353386163
715,90,0,3,0.5069244931150572
1037,90,0,4,0.405874596769199
81,90,0,1,0.7701475117320722
716,91,0,3,0.837271027303562
1038,91,0,4,0.4672378585429467
82,91,0,1,0.9774241659523528
398,91,0,2,0.8103614278110576
717,92,0,3,0.5484810923824385
1039,92,0,4,0.39581206930698115
83,92,0,1,1.0
399,92,0,2,0.7572437488283092
1040,93,0,4,0.5367817685193913
84,93,0,1,0.8473616728898596
718,93,0,3,0.6123421226998425
400,93,0,2,0.9171322614165122
719,94,0,3,0.4947551533362427
85,94,0,1,0.8627388853559806
1041,94,0,4,0.4566193726908013
401,94,0,2,0.8119523133885902
720,95,0,3,0.7134557744853073
1042,95,0,4,0.3846541587112727
86,95,0,1,0.6802618660635218
402,95,0,2,0.4925126224697365
721,96,0,3,0.6861165552937664
1043,96,0,4,0.6456479969335939
403,96,0,2,0.4390410897383976
87,96,0,1,0.9172476250600627
88,97,0,1,0.6243387550515024
404,97,0,2,0.6626896111785195
1044,97,0,4,0.6474356571846813
405,98,0,2,0.5952906525161472
722,98,0,3,0.5177758573010425
89,98,0,1,1.0
406,99,0,2,0.721496766939668
723,99,0,3,0.7774003637543413
90,99,0,1,0.9681567666849534
1045,99,0,4,0.6408784863362061
724,100,0,3,0.979591836734694
407,100,0,2,0.9871659960177124
91,100,0,1,0.8873616728898597
408,101,0,2,0.9844223946888697
725,101,0,3,0.5900651930860303
92,101,0,1,0.9462765615608124
1046,101,0,4,0.5573238025939601
1047,102,0,4,0.45276947791144856
409,102,0,2,0.5566057873750181
726,102,0,3,0.6387001142453962
93,102,0,1,0.7122614354701926
1048,103,0,4,0.3038674829336022
410,103,0,2,0.9560759586041453
94,103,0,1,0.9613327877653225
727,103,0,3,0.824053671798954
95,104,0,1,0.9714901000182868
411,104,0,2,0.7768748866873245
1049,104,0,4,0.42657214603795574
1050,105,0,4,0.5985581038201714
96,105,0,1,0.9357803410899386
412,105,0,2,0.6788940477628593
728,105,0,3,0.8308338862271424
97,106,0,1,0.9967333333333335
1051,106,0,4,0.3017659248933714
413,106,0,2,0.40032680402411197
729,106,0,3,0.7576012908465728
98,107,0,1,0.606975118687866
414,107,0,2,0.43213871635311935
1052,107,0,4,0.33166197153678645
730,107,0,3,0.43773204678541866
99,108,0,1,0.4631737554035979
1053,108,0,4,0.6294848914818897
731,108,0,3,0.7218585196623122
415,108,0,2,0.9458809326373064
1054,109,0,4,0.5477305220885514
416,109,0,2,0.8988148010990519
732,109,0,3,0.4802593002934906
100,109,0,1,0.8922459758066974
101,110,0,1,0.9142269281876496
733,110,0,3,0.4900698481996907
417,110,0,2,0.6292510146872915
1055,110,0,4,0.5921227321234724
734,111,0,3,0.7493244554775178
1056,111,0,4,0.44261327389949
102,111,0,1,0.9073616728898597
418,111,0,2,0.9677430441755789
735,112,0,3,0.6732532765435308
1057,112,0,4,0.1449091649091649
103,112,0,1,0.7628136591112632
419,112,0,2,0.7998715053077821
104,113,0,1,0.8080566791130528
420,113,0,2,0.7976000435214864
736,113,0,3,0.7121521926018224
1058,113,0,4,0.569674992813531
737,114,0,3,0.9725436179981635
1059,114,0,4,0.13940403491604195
421,114,0,2,0.5985830788451464
738,115,0,3,0.36884775053396673
422,115,0,2,0.6735992398008954
1060,115,0,4,0.6074375388345371
105,115,0,1,0.8873616728898597
1061,116,0,4,0.5160880979820945
423,116,0,2,0.9421975101774133
739,116,0,3,0.6046884937619627
740,117,0,3,0.722829061846157
106,117,0,1,0.989271259175607
424,117,0,2,0.8395533351140565
1062,117,0,4,0.5015440125973845
107,118,0,1,0.8579381719744488
425,118,0,2,0.9032154092717829
741,118,0,3,0.5213341044964817
1063,118,0,4,0.45607765751993784
1064,119,0,4,0.5821476061053259
108,119,0,1,0.6519091846219319
426,119,0,2,0.829038780018683
742,119,0,3,0.7480522089253681
109,120,0,1,0.936023640141639
427,120,0,2,0.6907993043838648
1065,120,0,4,0.5450166441790213
743,120,0,3,0.5024044743578463
110,121,0,1,0.8366329320654667
1066,121,0,4,0.5666581908676268
744,121,0,3,0.5347750738485427
428,121,0,2,0.7139125740300192
745,122,0,3,0.6677672506685969
429,122,0,2,0.5702343100879915
1067,122,0,4,0.49434434393025056
746,123,0,3,0.6768947295118248
111,123,0,1,0.7547233457797197
1068,123,0,4,0.6270058601066004
430,123,0,2,0.6733187084314558
112,124,0,1,0.96452040304859
747,124,0,3,0.8007270790246831
1069,124,0,4,0.5277262496839694
431,124,0,2,0.8873616728898597
113,125,0,1,0.5752010310265256
1070,125,0,4,0.3874514509615061
748,125,0,3,0.42467302280286534
432,125,0,2,0.8032046097498919
433,126,0,2,0.5223691972943824
114,126,0,1,0.9310153521691983
749,126,0,3,0.7886168780293158
1071,126,0,4,0.43164247404081835
434,127,0,2,0.8096526366022664
115,127,0,1,1.0
1072,127,0,4,0.4589367956149963
750,127,0,3,0.5983229045001154
751,128,0,3,0.75
435,128,0,2,0.6649912553443177
1073,128,0,4,0.5767467091963391
116,128,0,1,0.25928440246622064
752,129,0,3,0.38737506541400957
436,129,0,2,0.44553963287725573
117,129,0,1,0.5507098311000855
1074,129,0,4,0.38050648069269694
437,130,0,2,0.6420850186695791
1075,130,0,4,0.6106987286326093
118,130,0,1,0.913871027303562
753,130,0,3,0.6438146067360497
754,131,0,3,0.608351225369357
438,131,0,2,0.9068922027046404
119,131,0,1,0.5753846174017125
1076,131,0,4,0.4967368490095763
439,132,0,2,0.6715883178292521
755,132,0,3,0.5348590309124028
120,132,0,1,0.9560759586041453
1077,132,0,4,0.5701040279861925
121,133,0,1,0.9745670230952099
756,133,0,3,0.7571419999393078
1078,133,0,4,0.4326026781731452
440,133,0,2,0.9917355371900828
441,134,0,2,0.7092903688749295
757,134,0,3,0.5961240483257041
122,134,0,1,0.8126237022082627
1079,134,0,4,0.4944524447464412
758,135,0,3,0.5376484521625455
442,135,0,2,0.572420766278486
123,135,0,1,0.989271259175607
759,136,0,3,0.75
443,136,0,2,0.4799137184850888
124,136,0,1,0.9560759586041453
760,137,0,3,0.371488643678602
444,137,0,2,0.9427237897801635
125,137,0,1,0.8845760831606436
1080,137,0,4,0.4646583240677601
126,138,0,1,1.0
445,138,0,2,0.809927731512292
761,138,0,3,0.7348386529594901
1081,138,0,4,0.22094694501741213
1082,139,0,4,0.5931706432766468
446,139,0,2,1.0
127,139,0,1,0.9464890837728208
762,139,0,3,0.7068668679595183
763,140,0,3,0.5776014411591609
128,140,0,1,0.8405376939702286
447,140,0,2,0.7780046545892151
129,141,0,1,0.590318892483356
764,141,0,3,0.7378004342455912
130,142,0,1,0.7823145209675834
1083,142,0,4,0.45252223516451545
765,142,0,3,0.529259526553523
448,143,0,2,0.468824410766691
131,143,0,1,0.8438775510204081
1084,143,0,4,0.20769478729344124
766,143,0,3,0.5223829544171448
132,144,0,1,0.7679580345425951
767,144,0,3,0.46024048810255563
1085,144,0,4,0.3427001551356916
449,144,0,2,0.550387789373696
1086,145,0,4,0.5597765735782292
133,145,0,1,0.9652857908935712
768,145,0,3,0.4784487598460677
450,145,0,2,0.6964563648926416
451,146,0,2,0.6330427256565094
769,146,0,3,0.7327011262783373
1087,146,0,4,0.11719118089886364
134,146,0,1,0.5972843656575249
770,147,0,3,0.567986015039387
135,147,0,1,0.6253667809120629
1088,147,0,4,0.5165805747829741
452,147,0,2,0.7271335346261851
1089,148,0,4,0.5908285895943992
453,148,0,2,0.43293719964694527
771,148,0,3,0.2079758839745379
136,148,0,1,0.7813964663370909
454,149,0,2,0.6970954591317359
772,149,0,3,0.7765044373732489
1090,149,0,4,0.35845139708776075
137,149,0,1,0.658284025681024
1091,150,0,4,0.4851997358124809
773,150,0,3,0.54836860670194
455,150,0,2,0.834527668907572
138,150,0,1,0.8995640933140935
456,151,0,2,0.98494377379549
1092,151,0,4,0.6569851019428217
139,151,0,1,0.8961230320837535
774,151,0,3,0.7849296501467452
775,152,0,3,0.528395269467823
457,152,0,2,0.10850340136054422
140,152,0,1,0.9058676208283423
1093,152,0,4,0.5221340388007054
776,153,0,3,0.5207664880230318
141,153,0,1,0.7878760073491665
142,154,1,1,0.3808562950861376
777,154,1,3,0.6445216004467856
458,154,1,2,0.9099662653988
1094,154,1,4,0.538349281767723
778,155,1,3,0.4583881066257294
459,155,1,2,0.96452040304859
1095,155,1,4,0.44401471756134564
143,155,1,1,0.9984000000000001
1096,156,1,4,0.6390016567076602
779,156,1,3,0.5153468161159371
460,156,1,2,0.5725277632808256
144,156,1,1,0.688381457866752
780,157,1,3,0.7433632701434559
145,157,1,1,1.0
1097,157,1,4,0.6495033573372381
146,158,1,1,0.44015568245672054
781,158,1,3,0.3201070754642183
461,158,1,2,0.6902526064190218
1098,158,1,4,0.41274332220478405
147,159,1,1,0.7680566791130528
462,159,1,2,0.5865152541360914
1099,159,1,4,0.4555811906584016
782,159,1,3,0.6721566238341309
148,160,1,1,0.4880205793742609
1100,160,1,4,0.4259574449241698
463,160,1,2,0.7958809497497613
783,160,1,3,0.6536607255295369
464,161,1,2,0.96452040304859
784,161,1,3,0.5474810032335984
1101,161,1,4,0.8328869047619047
149,161,1,1,0.6336610397499481
785,162,1,3,0.8327233457797195
1102,162,1,4,0.42629957416538383
465,162,1,2,0.9140570980178195
150,162,1,1,0.739448134560882
466,163,1,2,0.3129563045186817
1103,163,1,4,0.6267826512967447
151,163,1,1,0.7371113734750098
786,163,1,3,0.8348985186961229
152,164,1,1,0.8939231931237499
1104,164,1,4,0.3687198012812631
467,164,1,2,0.5797623129596208
787,164,1,3,0.5980925599220929
1105,165,1,4,0.6382297549595974
788,165,1,3,0.33065580638233755
468,166,1,2,0.7262234703362176
789,166,1,3,0.7816341914154405
1106,166,1,4,0.32231291304379206
469,167,1,2,0.4847302704728604
790,167,1,3,0.7386375108432048
1107,167,1,4,0.4389316595132183
153,167,1,1,0.7039936624225896
791,168,1,3,0.6063683457103164
470,168,1,2,0.7413991101491101
1108,168,1,4,0.4076035268615562
154,168,1,1,0.7452058818047318
1109,169,1,4,0.5111052128350554
155,169,1,1,1.0
471,169,1,2,1.0
792,169,1,3,0.3036761864419961
1110,170,1,4,0.3195587180053461
793,170,1,3,0.543821377878788
472,170,1,2,0.462031632310795
156,170,1,1,0.5730831098173002
473,171,1,2,1.0
157,171,1,1,0.7757367092293596
1111,171,1,4,0.34832215281614937
794,171,1,3,0.6050666360874734
474,172,1,2,0.8953865681961657
1112,172,1,4,0.43595384799612824
795,172,1,3,0.9362300315424693
158,172,1,1,0.96452040304859
796,173,1,3,0.6539105400514742
475,173,1,2,0.6499048136739346
159,173,1,1,0.9374814381954474
1113,173,1,4,0.32689792438757304
476,174,1,2,1.0
797,174,1,3,0.43640537126683304
1114,174,1,4,0.591637012485727
160,174,1,1,0.8154187709076792
477,175,1,2,0.6360829133520344
1115,175,1,4,0.5403135313991284
