form,sid,grp,ntm,loss,aic,bic,tau,pc_coef,dlp_coef,rlp_coef,mlp_coef,relt_coef
PC + RELT,3,0,3,300.41063658181685,662.8212731636337,771.9865616173635,4.246858649520814,-0.31907588092464273,,,,0.6835331919527574
dLP + rLP,3,0,3,307.3662010065693,676.7324020131388,785.8976904668683,9.364473936530704,,-0.7386730116072051,0.394954873531405,,
dLP + mLP,3,0,3,315.74818714811437,693.496374296229,802.6616627499585,2.7225233213380364,,-2.6555860754808007,,0.04043111400762082,
dLP + RELT,3,0,3,302.36069538925926,666.7213907785185,775.8866792322482,7.797192881192199,,-0.6183175841136596,,,0.3009505553435309
rLP + mLP,3,0,3,333.4461694587966,728.8923389175932,838.0576273713228,3.141623087191096,,,1.2340755473729719,-0.1178483958202989,
rLP + RELT,3,0,3,308.5854113229592,679.1708226459184,788.3361110996482,9.410784289176418,,,0.2157494931446201,,0.3334242908351467
mLP + RELT,3,0,3,310.80449867039744,683.6089973407949,792.7742857945245,6.348621663306892,,,,-0.02804722215497104,0.5357125734356786
PC + dLP + rLP,3,0,3,297.3701030269113,656.7402060538226,765.9054945075521,7.751363294626818,-0.18398170621373586,-0.8757411869362844,0.17814426156052124,,
PC + dLP + mLP,3,0,3,297.37196267081026,656.7439253416205,765.9092137953502,3.813571394665941,-0.4443745749626397,-1.884939754161828,,0.08339353195058831,
PC + dLP + RELT,3,0,3,289.0008788504749,640.0017577009498,749.1670461546794,6.240931091388393,-0.2352395363068131,-0.8483490413071559,,,0.2963956732077026
PC + rLP + mLP,3,0,3,323.30227425358584,708.6045485071718,817.7698369609012,4.529421321447561,-0.3274392395720636,,0.3337579505952971,-0.053383534645622635,
PC + rLP + RELT,3,0,3,300.380109493711,662.760218987422,771.9255074411517,9.600528847417703,-0.13749649330549088,,0.02594435559619604,,0.300354337553642
PC + mLP + RELT,3,0,3,300.2627967994205,662.5255935988408,771.6908820525706,6.108580179163037,-0.2190607277021016,,,-0.021484474091518952,0.4729804098840882
dLP + rLP + mLP,3,0,3,307.26546663738037,676.5309332747607,785.6962217284904,6.847206916739005,,-1.0314941687054646,0.5383832097221889,0.014550919664350471,
dLP + rLP + RELT,3,0,3,297.90922272611243,657.8184454522249,766.9837339059544,8.256665578717179,,-0.6378009879518095,0.34065052623930353,,0.2369151933962533
dLP + mLP + RELT,3,0,3,302.2693372878716,666.5386745757431,775.7039630294728,2.6728123189608284,,-1.8616395928215097,,0.03573001969482921,0.8774941169585632
rLP + mLP + RELT,3,0,3,307.9493094809781,677.8986189619562,787.0639074156859,3.4071865881496337,,,0.6384393072650018,-0.07450569762069244,0.8995842657771194
PC + dLP + rLP + mLP,3,0,3,296.6787867597854,655.3575735195708,764.5228619733007,8.602131830830583,-0.1744478272170941,-0.8324960855191293,0.14517660075804156,0.033620205176189105,
PC + dLP + rLP + RELT,3,0,3,288.7639061676522,639.5278123353044,748.693100789034,7.342361736254832,-0.1863298862995278,-0.7294213218735031,0.10042734133928158,,0.245301424778288
PC + dLP + mLP + RELT,3,0,3,288.4769826772302,638.9539653544604,748.11925380819,3.8007673182954624,-0.3988650555579845,-1.4937811864872554,,0.06795290235055022,0.4772643587590729
PC + rLP + mLP + RELT,3,0,3,300.2043776537607,662.4087553075212,771.5740437612511,6.754511068870994,-0.19057893093227474,,0.0518828472179155,-0.0214786142925428,0.4236404951922109
dLP + rLP + mLP + RELT,3,0,3,297.88094107654223,657.7618821530845,766.9271706068141,5.9884941186998475,,-0.8938013957154601,0.4673616243052622,0.009177797691751586,0.3260961298532058
PC + dLP + rLP + mLP + RELT,3,0,3,288.3195960840999,638.6391921681998,747.8044806219293,5.572625074080503,-0.2566013300089519,-1.02299086112496,0.10868129771523134,0.04306733109867908,0.31847025132365464
PC,4,0,2,301.64219722764705,665.2843944552941,774.4496829090236,4.378089781681118,0.6791914742919987,,,,
dLP,4,0,2,299.4171848126756,660.8343696253512,769.9996580790809,4.057261920337044,,1.1650614952217402,,,
rLP,4,0,2,326.92786571762286,715.8557314352458,825.0210198889755,2.784015979718879,,,-1.6033009642966043,,
mLP,4,0,2,305.42992384967954,672.8598476993591,782.0251361530887,5.3717710099526705,,,,0.6284252613263767,
RELT,4,0,2,277.5137803948164,617.0275607896327,726.1928492433624,3.272536386872898,,,,,1.196120786765316
PC + dLP,4,0,2,299.4161248789194,660.8322497578388,769.9975382115684,9.017981726810728,-0.007168785016692512,0.5351489071177515,,,
PC + rLP,4,0,2,300.672257579971,663.344515159942,772.5098036136717,11.185183054180596,0.31211878569143825,,0.12337225816982415,,
PC + mLP,4,0,2,301.64209181620487,665.2841836324097,774.4494720861395,6.884339470586463,0.4297505413492669,,,0.002659722877164557,
PC + RELT,4,0,2,273.3305487539279,608.6610975078559,717.8263859615855,8.479889454202146,0.1314514536593572,,,,0.3801495331361373
dLP + rLP,4,0,2,298.9673982601581,659.9347965203162,769.1000849740459,3.1536663773081486,,1.6535115584101454,0.2749044231293338,,
dLP + mLP,4,0,2,299.19256933454614,660.3851386690923,769.5504271228218,10.911844802232233,,0.5277857184606771,,-0.07424662977853687,
dLP + RELT,4,0,2,270.0291706688566,602.0583413377133,711.2236297914427,6.672676798148943,,0.32544798952822457,,,0.4703842034813707
rLP + mLP,4,0,2,305.3787724061921,672.7575448123843,781.9228332661139,6.850552130462336,,,-0.039888980000609836,0.4772211236241278,
rLP + RELT,4,0,2,277.4195488874222,616.8390977748444,726.004386228574,9.322594145759712,,,0.04126506044385327,,0.4312939314195208
mLP + RELT,4,0,2,271.7709467584721,605.5418935169441,714.7071819706737,1.7214720804934052,,,,0.8202855178705448,1.8748197016654569
PC + dLP + rLP,4,0,2,298.89918141367923,659.7983628273585,768.9636512810881,6.17554986927652,0.09220874294506527,0.7167474118431546,0.16467243522252342,,
PC + dLP + mLP,4,0,2,299.1689685624356,660.3379371248711,769.5032255786008,6.13009232286883,0.05339222093749546,0.8796590342622537,,-0.149376418966248,
PC + dLP + RELT,4,0,2,264.751552425082,591.5031048501639,700.6683933038936,5.196676132854245,-0.8844813139859029,1.6791007402090308,,,0.7169170448819239
PC + rLP + mLP,4,0,2,300.5770651398555,663.154130279711,772.3194187334407,10.021698463855293,0.4009962528872159,,0.15238859793832446,-0.057371856268732875,
PC + rLP + RELT,4,0,2,267.28171093209517,596.5634218641902,705.7287103179201,7.582041082059168,0.32222050574107863,,0.5521251848928299,,0.4901410226830144
PC + mLP + RELT,4,0,2,271.07560111091215,604.1512022218243,713.3164906755542,4.613868489015284,-0.3349713529375689,,,0.6539883762758856,0.7428541527838377
dLP + rLP + mLP,4,0,2,298.7149243639472,659.4298487278943,768.595137181624,6.7179595624226645,,0.9399205593507738,0.13362093807681638,-0.12635448106418098,
dLP + rLP + RELT,4,0,2,261.7848959377187,585.5697918754374,694.7350803291672,5.667666750091022,,0.7534923708343233,0.8205407034093383,,0.693756782363342
dLP + mLP + RELT,4,0,2,269.58217853339124,601.1643570667825,710.329645520512,4.338107319947902,,0.8750946973632198,,-0.2913376436695164,0.7367698254728002
rLP + mLP + RELT,4,0,2,266.3010401779595,594.602080355919,703.7673688096487,2.1776345403700894,,,1.6544725689572355,1.1526792403301211,1.769426152341259
PC + dLP + rLP + mLP,4,0,2,298.4312717253705,658.862543450741,768.0278319044706,6.111166829796617,0.21147552905381325,0.8339615861170208,0.20687645624506265,-0.21023398775438987,
PC + dLP + rLP + RELT,4,0,2,259.6330480915192,581.2660961830383,690.4313846367679,7.081268541686219,-0.4282354430189032,1.1700682030800749,0.5517260797387504,,0.5928137313350255
PC + dLP + mLP + RELT,4,0,2,264.5770849409086,591.1541698818172,700.319458335547,6.800899871266166,-0.7428140523734749,1.2095510677771186,,0.13085553443496112,0.5506953467878026
PC + rLP + mLP + RELT,4,0,2,266.25357552998054,594.5071510599611,703.6724395136908,4.8230256416870745,0.0947604816713083,,0.7823225294552049,0.4332245981517295,0.7926858227203631
dLP + rLP + mLP + RELT,4,0,2,261.3575626778083,584.7151253556166,693.8804138093461,8.157050233792257,,0.7112024005206418,0.5724131517084281,-0.14363605757488027,0.4884463374315852
PC + dLP + rLP + mLP + RELT,4,0,2,259.62070027651765,581.2414005530353,690.4066890067652,6.261721076367378,-0.5064350486458699,1.3041791948375665,0.6187962202931647,0.037278681820820114,0.6708638523314182
PC,5,0,2,296.92272907372336,655.8454581474467,765.0107466011765,7.971091789027247,0.4943974437982545,,,,
dLP,5,0,2,316.6259491229697,695.2518982459393,804.4171866996692,4.756392036681524,,1.197493034183038,,,
rLP,5,0,2,325.17582878711966,712.3516575742393,821.5169460279691,10.03475019968705,,,-0.6250935086215097,,
mLP,5,0,2,321.72522037307743,705.450440746155,814.6157291998845,2.7573514176596152,,,,-0.8444591694512665,
RELT,5,0,2,292.7984645088386,647.5969290176772,756.7622174714069,7.548316134741198,,,,,0.372676829657478
PC + dLP,5,0,2,284.4436120904928,630.8872241809856,740.0525126347153,8.809886561272465,0.3498920265380248,0.4839393871544474,,,
PC + rLP,5,0,2,296.23526787839364,654.4705357567873,763.6358242105172,7.526266508137394,0.4778657904477375,,-0.17507775959903235,,
PC + mLP,5,0,2,296.9041031266558,655.8082062533118,764.9734947070414,4.209793405586096,0.9556133710899988,,,0.020083240966612226,
PC + RELT,5,0,2,287.1252695021872,636.2505390043742,745.415827458104,7.339659459705142,0.27370909057575243,,,,0.23705469338613944
dLP + rLP,5,0,2,309.25128429551563,680.5025685910311,789.6678570447607,12.125650759650318,,0.3868189710310908,-0.3271869183693813,,
dLP + mLP,5,0,2,307.58812146636416,677.1762429327283,786.3415313864579,7.701638769216608,,0.5674402526610902,,-0.20132719409428326,
dLP + RELT,5,0,2,282.2623925677144,626.5247851354288,735.6900735891585,10.53531035197738,,0.3445111192238234,,,0.225928609325464
rLP + mLP,5,0,2,317.78848169552805,697.5769633910561,806.7422518447858,7.4926304796932675,,,-0.4526912448923652,-0.21346664432512447,
rLP + RELT,5,0,2,288.7811798839891,639.5623597679783,748.7276482217079,6.63016351634033,,,-0.4240870599143952,,0.37184261868220736
mLP + RELT,5,0,2,292.39558262944246,646.7911652588849,755.9564537126148,5.840464177861191,,,,0.07078285104721539,0.5290301268383392
PC + dLP + rLP,5,0,2,284.2567512778875,630.513502555775,739.6787910095047,8.38604358218809,0.3858112616839353,0.5280116691154099,0.08892613278366489,,
PC + dLP + mLP,5,0,2,282.30670769378435,626.6134153875687,735.7787038412984,6.732722998248546,0.5724018445924516,0.7413861391683976,,0.15302101707997834,
PC + dLP + RELT,5,0,2,277.3908928885931,616.7817857771863,725.9470742309159,9.940847792854816,0.1716903568124359,0.3659185902550972,,,0.14851749907686745
PC + rLP + mLP,5,0,2,296.00199126746537,654.0039825349309,763.1692709886604,5.419122922518259,0.7059803554814452,,-0.30032971745790626,0.05975386327625876,
PC + rLP + RELT,5,0,2,286.0691079704664,634.1382159409328,743.3035043946625,4.633609477416893,0.33489518255921996,,-0.3496802118385185,,0.3835888090630022
PC + mLP + RELT,5,0,2,284.01988373786673,630.0397674757335,739.2050559294632,7.124122312533131,0.3770239513306935,,,0.17269906432137996,0.3135481955781047
dLP + rLP + mLP,5,0,2,305.69885673581445,673.3977134716289,782.5630019253584,10.482355263729934,,0.39721944275967663,-0.2203550534753464,-0.10724103073675298,
dLP + rLP + RELT,5,0,2,281.1198420991318,624.2396841982636,733.4049726519933,8.18953299867002,,0.4052213525955377,-0.19123068037922047,,0.2734328795626057
dLP + mLP + RELT,5,0,2,277.80813970450566,617.6162794090113,726.7815678627411,5.147703332129328,,0.8950349393162759,,0.3218916384071773,0.660908099249254
rLP + mLP + RELT,5,0,2,283.37873561841263,628.7574712368253,737.9227596905548,5.316304945136408,,,-0.9791560906172534,0.3652816976301519,0.659358666510652
PC + dLP + rLP + mLP,5,0,2,282.2743525039474,626.5487050078948,735.7139934616245,9.63938719021836,0.40488407593674,0.524560235098196,0.03325551149465232,0.10468918879572513,
PC + dLP + rLP + RELT,5,0,2,277.390351210349,616.780702420698,725.9459908744278,7.389334324753669,0.23235974055599645,0.4934329496780577,0.005334096312439937,,0.19954465647994596
PC + dLP + mLP + RELT,5,0,2,266.0900023339975,594.180004667995,703.3452931217247,8.517047008478718,0.33495598116655195,0.6411139560060427,,0.3378881860843949,0.3163793027109948
PC + rLP + mLP + RELT,5,0,2,279.100407057034,620.200814114068,729.3661025677977,7.872042354465865,0.25223152117186864,,-0.5097798547847191,0.27663929074859045,0.3510325680914592
dLP + rLP + mLP + RELT,5,0,2,271.71031409188225,605.4206281837645,714.5859166374942,6.047423613249327,,0.7110531082984431,-0.6863165398465149,0.4605178775516156,0.6253420205258693
PC + dLP + rLP + mLP + RELT,5,0,2,264.58760194562234,591.1752038912447,700.3404923449742,4.302802385295749,0.5588196829228232,1.185461798111582,-0.5218041503195616,0.7589430811313005,0.6979297210447009
